Time(s),Vin(V),Vout(V)
-2.351200E-004,1.05308e+01,9.05348e+00
-2.350900E-004,1.05308e+01,9.25448e+00
-2.350600E-004,1.05308e+01,9.05348e+00
-2.350300E-004,1.05308e+01,9.25448e+00
-2.350000E-004,1.05308e+01,9.25448e+00
-2.349700E-004,1.05308e+01,9.05348e+00
-2.349400E-004,1.09328e+01,9.05348e+00
-2.349100E-004,1.05308e+01,9.25448e+00
-2.348800E-004,1.05308e+01,9.25448e+00
-2.348500E-004,1.05308e+01,9.25448e+00
-2.348200E-004,1.09328e+01,9.05348e+00
-2.347900E-004,1.09328e+01,9.25448e+00
-2.347600E-004,1.05308e+01,9.25448e+00
-2.347300E-004,1.05308e+01,9.25448e+00
-2.347000E-004,1.05308e+01,9.05348e+00
-2.346700E-004,1.09328e+01,9.25448e+00
-2.346400E-004,1.05308e+01,9.25448e+00
-2.346100E-004,1.05308e+01,9.05348e+00
-2.345800E-004,1.05308e+01,9.25448e+00
-2.345500E-004,1.05308e+01,9.25448e+00
-2.345200E-004,1.05308e+01,9.25448e+00
-2.344900E-004,1.05308e+01,9.05348e+00
-2.344600E-004,1.05308e+01,9.05348e+00
-2.344300E-004,1.05308e+01,9.25448e+00
-2.344000E-004,1.05308e+01,9.05348e+00
-2.343700E-004,1.09328e+01,9.25448e+00
-2.343400E-004,1.05308e+01,9.25448e+00
-2.343100E-004,1.05308e+01,9.25448e+00
-2.342800E-004,1.09328e+01,9.05348e+00
-2.342500E-004,1.05308e+01,9.25448e+00
-2.342200E-004,1.09328e+01,9.25448e+00
-2.341900E-004,1.05308e+01,9.05348e+00
-2.341600E-004,1.05308e+01,9.25448e+00
-2.341300E-004,1.05308e+01,9.25448e+00
-2.341000E-004,1.05308e+01,9.05348e+00
-2.340700E-004,1.05308e+01,9.25448e+00
-2.340400E-004,1.05308e+01,9.25448e+00
-2.340100E-004,1.05308e+01,9.25448e+00
-2.339800E-004,1.05308e+01,9.25448e+00
-2.339500E-004,1.05308e+01,9.05348e+00
-2.339200E-004,1.05308e+01,9.25448e+00
-2.338900E-004,1.05308e+01,9.25448e+00
-2.338600E-004,1.05308e+01,9.25448e+00
-2.338300E-004,1.05308e+01,9.25448e+00
-2.338000E-004,1.05308e+01,9.05348e+00
-2.337700E-004,1.05308e+01,9.05348e+00
-2.337400E-004,1.05308e+01,9.25448e+00
-2.337100E-004,1.05308e+01,9.25448e+00
-2.336800E-004,1.05308e+01,9.25448e+00
-2.336500E-004,1.05308e+01,9.25448e+00
-2.336200E-004,1.05308e+01,9.25448e+00
-2.335900E-004,1.09328e+01,9.05348e+00
-2.335600E-004,1.09328e+01,9.25448e+00
-2.335300E-004,1.05308e+01,9.25448e+00
-2.335000E-004,1.05308e+01,9.05348e+00
-2.334700E-004,1.05308e+01,9.05348e+00
-2.334400E-004,1.05308e+01,9.25448e+00
-2.334100E-004,1.05308e+01,9.05348e+00
-2.333800E-004,1.05308e+01,9.25448e+00
-2.333500E-004,1.01287e+01,9.05348e+00
